Balance,Holder
{'Amount': '5218.977214450954563884'},{'Address': '0x77fbd7a41cfab09b273c12ecf3d217688fade9c5'}
{'Amount': '5129.215467050189948846'},{'Address': '0xd3d7e517eac437931cd06672198ff55fbcc0496d'}
{'Amount': '5114.984385964912000000'},{'Address': '0x73286f355b8b8459175170420ac4d3dba799e6da'}
{'Amount': '5092.944091700000000000'},{'Address': '0x4be116945c5ed473f886907e18ee35a34066e2ba'}
{'Amount': '5057.345576920056962977'},{'Address': '0xa86da49863b142468f8e600897cdb99e140423dc'}
{'Amount': '5004.305767700000000000'},{'Address': '0x012b9cdda3dac7e2c0c3f5af9c88efcbf4df0b81'}
{'Amount': '5000.000000000000000000'},{'Address': '0xecfe632b5ec55dccf26aedd8fd93a665f45de652'}
{'Amount': '4866.651107794655275208'},{'Address': '0x61e35a476e10e4744ef3c051942bbd56620fc2ae'}
{'Amount': '4554.991463014658287256'},{'Address': '0x421a9654c9b65c4138fe9b1e613bddef92b6507d'}
{'Amount': '4500.003373129011378033'},{'Address': '0xae6ef687e55ccd6ec96d2bf6e67fa51819193afd'}
{'Amount': '4500.000000020508569310'},{'Address': '0x494db161d2e7ec64d692b58d12316259b9bf5c16'}
{'Amount': '4451.317865510506094764'},{'Address': '0x337ffc44c4debebe426ca294a213da3c81cdc86d'}
{'Amount': '4226.398976608189955000'},{'Address': '0x31ede558b39b2fd747251dcf2613b7722ba2fd2f'}
{'Amount': '4083.861175276649971043'},{'Address': '0x05fca4605ee454e90c93293bd8e93729a7e69f0e'}
{'Amount': '4000.000292136950834874'},{'Address': '0x41b01562f6556f8b3984130c165d5a6da8bbf722'}
{'Amount': '3919.257976505477058601'},{'Address': '0x530ca90aaec2957c771c707171d69413d9d1e35b'}
{'Amount': '3909.110000000000100044'},{'Address': '0xb86a7ef9179aa76ab8ad99292c4c5ee127291898'}
{'Amount': '3855.262046783626000000'},{'Address': '0x2ce75efd0b41010f881ef67c1abb42aaacf2079f'}
{'Amount': '3812.811432192812368909'},{'Address': '0x675643205763d559898c73fa2806d68745a30a94'}
{'Amount': '3735.138361574191993938'},{'Address': '0xc4b9bd7be1e25b9b811c1da5a40c15413660a582'}
{'Amount': '3657.007256899999999136'},{'Address': '0xc5d4ec9300be6da89a3db305c415c7cd3cbb7e8e'}
{'Amount': '3630.072077049759528236'},{'Address': '0x2ca7eae980b0d71c453bcd15a5aaccc9884465ea'}
{'Amount': '3615.436939348686353468'},{'Address': '0xa3cb7d24b9cb850cf22240043d59bf8e5a76ca61'}
{'Amount': '3607.907921503161283344'},{'Address': '0xb93b505ed567982e2b6756177ddd23ab5745f309'}
{'Amount': '3592.312596974060993838'},{'Address': '0xcdb6bedd2f4fc1d3934e763ed8da9f13728b7e38'}
{'Amount': '3545.410250019623958733'},{'Address': '0xe85bbfd9ef53f4dd5108007df62d92029a8188df'}
{'Amount': '3453.353167808219178081'},{'Address': '0x99144f9ffc05ec5c2b98aa306e311f40c9ca30ae'}
{'Amount': '3370.319442525310704000'},{'Address': '0x5f1c66b014343b999fff31dc12ed86fd7108c3af'}
{'Amount': '3319.486227772790885984'},{'Address': '0x8d8100705fb6676b97bcac87617ee4704c5d00f3'}
{'Amount': '3312.167543859648977263'},{'Address': '0xa2c8a24574bbd59d9e1b37da5fe71d9386242eca'}
{'Amount': '3302.783297630654592079'},{'Address': '0xbe4a9069230012920c52ba49ec72568f94b400f5'}
{'Amount': '3226.771975958892630176'},{'Address': '0x56a201b872b50bbdee0021ed4d1bb36359d291ed'}
{'Amount': '3211.112302441579273691'},{'Address': '0xd3a39b11ababd278753ddd66ccdfb32df1b5604b'}
{'Amount': '3209.154186553892435000'},{'Address': '0xc4c69760cad701b9280217fad51cb81bf7d5cd01'}
{'Amount': '3144.139997304185792906'},{'Address': '0xdeb1cf4f279f590844b9f61bd6fd037a0cecf8ba'}
{'Amount': '3118.729857260832954326'},{'Address': '0x5572f2f12085c9b5731a65b1ffe6d66d9d5a7229'}
{'Amount': '3057.090248643197723568'},{'Address': '0x17ea85484cd4e97be63fc02f20a196edeaa937a9'}
{'Amount': '3026.509806472862355137'},{'Address': '0xbea6c46af03c4ef9c9d96c810c17169651b1ed60'}
{'Amount': '3000.000000000000000000'},{'Address': '0xbe54da67c7fe425cc09dcb20dc939d772b7e22d3'}
{'Amount': '2998.725300611556390439'},{'Address': '0xa03f4e895da985962f2664e746d8f8b5f53e7676'}
{'Amount': '2970.641804268878809637'},{'Address': '0x78b0da6715600fd6822d01715fa4aaf48b8b4f50'}
{'Amount': '2968.373083317208780467'},{'Address': '0xd9a220fc883d60aeb81d99ebe668f1b990f63cdd'}
{'Amount': '2964.689509102583082498'},{'Address': '0xa300ad5d48dfba4560c44eb8c551d7cdbd95f300'}
{'Amount': '2948.134601834923758943'},{'Address': '0x5e9f736f314c9108ac72d4cfed4bcc09c01309a6'}
{'Amount': '2882.534815731123530861'},{'Address': '0x2f8416552ff44291d5b3bc791b36200ae700dfb5'}
{'Amount': '2860.411716089035417529'},{'Address': '0xa7696a7fb7224e88c2afcd18adceaab3efc26ed9'}
{'Amount': '2785.205036572840840918'},{'Address': '0x674bdf20a0f284d710bc40872100128e2d66bd3f'}
{'Amount': '2784.059647277835606426'},{'Address': '0x57c91de6ba3ea684d76dba80beebc89ecf37d920'}
{'Amount': '2781.114580325015611326'},{'Address': '0x4bf4c3b150375afd7434e3ee9be515d1b03c20f7'}
{'Amount': '2774.692062120545554618'},{'Address': '0x54f2c1d76cb23329f36afdaff363b28e123f76e3'}
{'Amount': '2762.553700041303884011'},{'Address': '0xbdac5657edd13f47c3dd924eaa36cf1ec49672cc'}
{'Amount': '2751.698885768794391449'},{'Address': '0x3452a7f30a712e415a0674c0341d44ee9d9786f9'}
{'Amount': '2711.976644360256996979'},{'Address': '0xef35b896e1c6c816177277924d04ead587bbc495'}
{'Amount': '2701.764576509863251542'},{'Address': '0xa7230946a4421a68efc625b9e420d916c3924722'}
{'Amount': '2699.615582193304721792'},{'Address': '0x14a191ce45818063cb5a06561538f95c34de5402'}
{'Amount': '2685.545596847105159817'},{'Address': '0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf'}
{'Amount': '2536.073296362418149410'},{'Address': '0x8f06fba4684b5e0988f215a47775bb611af0f986'}
{'Amount': '2508.543572986004023118'},{'Address': '0x7a54c55b3a164a41bba9a3e21dd187af745c30d0'}
{'Amount': '2483.831618365606920404'},{'Address': '0x618f2d5932b4d29bda43a96be1eef390e1916e24'}
{'Amount': '2480.103168509719918516'},{'Address': '0xb34c450ef0d90467b42b54632ac7d7f584bb9206'}
{'Amount': '2479.343361662647959960'},{'Address': '0x63d9867fc6edace1c3741c9d17ef40ddb1bae197'}
{'Amount': '2477.393620501001762493'},{'Address': '0xb2b11feb564d03d3ec429c1089ddcbff49fb8878'}
{'Amount': '2425.679700147869209632'},{'Address': '0x4486a83550b5fe1b861682691747259cac1abd11'}
{'Amount': '2413.062789060190988926'},{'Address': '0x01f3328aa6df22005315d7d3a8eb3a586f021e5d'}
{'Amount': '2391.966800213996091090'},{'Address': '0x78152dfc8f89c6cbe59a76447a690e80d24e3985'}
{'Amount': '2370.573793054047227168'},{'Address': '0xdcb4fc376668ede31850a0f257599f23f04d927a'}
{'Amount': '2345.203278435836842013'},{'Address': '0xc3cc57579138f33a987e0333df3d59b0bbc59fed'}
{'Amount': '2292.529899266648950812'},{'Address': '0x192b8d9e62c2176e054a8d160be7351dc27ec265'}
{'Amount': '2211.310000000000000000'},{'Address': '0xe4665d12bab964955011fb8270c99bf2f8b49979'}
{'Amount': '2190.589966149836238410'},{'Address': '0x660b844d7e900f8aec6a2de0f62df7a8eaecf2a4'}
{'Amount': '2190.350947256197163905'},{'Address': '0xe9e7b800ec5fc6015cf6b2826711254bab3c12e4'}
{'Amount': '2157.034605457230523648'},{'Address': '0x64c20d5dd1026203fa1973c5d8dd4ffeaad96a83'}
{'Amount': '2105.148074586211427005'},{'Address': '0x810fd91ecce70182a3beb46e3263e405b6f6aba4'}
{'Amount': '2088.983008419797235741'},{'Address': '0x96bff4e808bfbdb6b4381460bee90d67cc33bdbe'}
{'Amount': '2073.835035042314958324'},{'Address': '0x8fd59025c050c0b9096b967a0baa37a6f511d17d'}
{'Amount': '2071.875087719298000000'},{'Address': '0xd07ea62d7d129e6a901c36ada8e2b3d7db5bd0cc'}
{'Amount': '2037.424256508049527268'},{'Address': '0x1b72bac3772050fdcaf468cce7e20deb3cb02d89'}
{'Amount': '2026.915113299334685657'},{'Address': '0xcbe4347cefbf18c0e4fec08a23cd197d0e7a7aae'}
{'Amount': '2013.000000000000000000'},{'Address': '0xd6e0f7da4480b3ad7a2c8b31bc5a19325355ca15'}
{'Amount': '2001.017822668179577016'},{'Address': '0x6aae22a5d1b492facd3ddd6bf1c2cf6ea1832aba'}
{'Amount': '2000.493888826611393948'},{'Address': '0x2dea637322de8b8570bd75be1289576c95aaf83a'}
{'Amount': '2000.230978019560513165'},{'Address': '0x84610724522e7e3e5276243883a3c75fd04b4cc7'}
{'Amount': '2000.050386225531604830'},{'Address': '0x2191069113f1c1746c6712dc2bd42250ec177c6c'}
{'Amount': '2000.007431827726888046'},{'Address': '0x5eba75c233518cf8f27a0949bd870557045c7e72'}
{'Amount': '2000.000000270761664831'},{'Address': '0xa832d2d5ea5cd88a89e2e2a14542422d448e8d76'}
{'Amount': '2000.000000000000000436'},{'Address': '0x7c182e1baec31d884a16e0dc53f33510025cead8'}
{'Amount': '2000.000000000000000000'},{'Address': '0x4ceeaa6108483239a636b595fc54ee00b48e0530'}
{'Amount': '1996.517535935437335524'},{'Address': '0x59653fd9713a30c54237a6fd21fd97ba141abbe0'}
{'Amount': '1985.131638795179280368'},{'Address': '0x07523480bf3363c434cddb57bbd434815d40e9f4'}
{'Amount': '1984.222686392553943041'},{'Address': '0x7eea83ad669591a9750784ece21322e7bf706b02'}
{'Amount': '1974.316415841000577123'},{'Address': '0x48156ff0d9ac0faa4b04c7688915486c93c27f08'}
{'Amount': '1947.041003471213738566'},{'Address': '0x2c68059cc66f2e1c0b6275257f2c0fa7d7a17ed3'}
{'Amount': '1946.390854600756267566'},{'Address': '0xb2be6af9ce976b3a6926d0955bb80743fcd2fc57'}
{'Amount': '1913.108131297534254868'},{'Address': '0x367a75a06ca15ca721aa34f0263219e0febca51f'}
{'Amount': '1882.299406827569577170'},{'Address': '0x8aa4e298aaea6c8e5ccca0804e9cd517aa7ba28a'}
{'Amount': '1846.740318015558559637'},{'Address': '0xbd5bcc4393bac02d57792cdc3abc7a9ecd3dc015'}
{'Amount': '1814.374024129258024455'},{'Address': '0x2addde36fef08da9a3c298bbe9222c80243b4914'}
{'Amount': '1800.546665970750755973'},{'Address': '0xdcabc755fb10931e6d8059113f762cd8a6813deb'}
{'Amount': '1778.889266688736100109'},{'Address': '0x54678f30b5fcab1b01c3a0f6723c2ab364d03a8f'}
{'Amount': '1777.557178860000000000'},{'Address': '0xe2efb81eb3571e9a6711ced6edee00e8c2311907'}
{'Amount': '1720.386391727699151483'},{'Address': '0xd18f6effad9e75a37731e2c1e7b4c613009008e4'}
{'Amount': '1700.369669560990220896'},{'Address': '0x9698d626669d09929a7ef0fc013ba269e64026a0'}
{'Amount': '1695.745988584520306658'},{'Address': '0x14b3618d60b2aec919c898a20f4ba802b831ccac'}
{'Amount': '1694.440000000000000000'},{'Address': '0xd19afaf8f7f2099a316aa7ce6d1d6112a576bfb9'}
{'Amount': '1689.564528418500656459'},{'Address': '0x109dbf73ac46320ad4e08253af520c2816edfcb4'}
{'Amount': '1686.230379001108892920'},{'Address': '0xd9b4003cf73240c314fd7a27c7681d86e5f3b53a'}
{'Amount': '1680.245962053866687015'},{'Address': '0x3882a6530002ed09db9dcee80d735926c5b49b26'}
{'Amount': '1675.485283321571995037'},{'Address': '0xe1eba3b91c7ba38b94e5c3030c49b883e1b8bfcd'}
{'Amount': '1616.525848800592905368'},{'Address': '0xbcd5eb62c3d08926c315484139175d7c4fad5918'}
{'Amount': '1611.025709285032043974'},{'Address': '0x622a1839c5f5c8fa5cff8a5aa72296b69a06ed18'}
{'Amount': '1592.805504995388917766'},{'Address': '0x37fee3a4201b20ef53d12c2d181223f17a0028ce'}
{'Amount': '1587.672479584312868111'},{'Address': '0x3631badeae17d929dce604f95e99ddceb7cbab84'}
{'Amount': '1575.247131117009873536'},{'Address': '0x79b6acbbbfc3e57c46302f5bffb4f8a0b0861114'}
{'Amount': '1519.985281313258442264'},{'Address': '0x5f3d8bd924bf6c721e924b3a3b61b11997e37b8a'}
{'Amount': '1497.425898880000000000'},{'Address': '0x771b8cc0ea0cbd7db432efd5b7aa536c7b9dceb9'}
{'Amount': '1489.252020119956458587'},{'Address': '0xe5254cba4a8306e8837a1e05ef6ab397ddbdf9ae'}
{'Amount': '1486.698987076234193412'},{'Address': '0xce2df464375e298f08acbec6b7933d94f90b5cd3'}
{'Amount': '1476.964449617287514947'},{'Address': '0xe8a7e45922f049c124ade1d26a71def97d23fb92'}
{'Amount': '1418.982014024902213964'},{'Address': '0xdc977c378f8a385cbf6a4d6e64c6ea02527faafd'}
{'Amount': '1411.818070175439000000'},{'Address': '0x77e0441e260361e0792c1c0fb7dcef9b8b900df0'}
{'Amount': '1408.866163742689999981'},{'Address': '0x12c544cf62de825380c11b3b29e8d700943fbdf3'}
{'Amount': '1386.944670569764111042'},{'Address': '0x392db6f338a41ef8ba284879b55c0210eb2f682c'}
{'Amount': '1372.347354096924373963'},{'Address': '0xd30e6bd298868769631b867708a3d6abfd044db9'}
{'Amount': '1351.493074374176962008'},{'Address': '0xe8787b5a359c30318d9b805651d18275f33fa1bd'}
{'Amount': '1332.239175917554449929'},{'Address': '0x7b1d58c9264491eb7c1e3f780aad4765d17d251e'}
{'Amount': '1319.215155163463476999'},{'Address': '0xa06137b61301aebfa7b6a0c8939d1e8528045782'}
{'Amount': '1307.836226073338159475'},{'Address': '0x3850c82b3a40f03d98e448f31f415b6afc5cd8bd'}
{'Amount': '1301.913038540000000000'},{'Address': '0x9bdf0e640c141d25f6f16165875a117beebf9a65'}
{'Amount': '1300.667809878900599033'},{'Address': '0x82e1c6cacf13c981059e3446db55889b0eeff67f'}
{'Amount': '1292.171290240000000000'},{'Address': '0xe81cf65b69cb601ded2d726591650546483fbfed'}
{'Amount': '1291.476972242027253325'},{'Address': '0xf0d52414e91876b2c88f22f3a6c4c3fc4e8b61c5'}
{'Amount': '1291.045267100336908857'},{'Address': '0x2b021beae06554040e09c88c2071bbecd6ee5b54'}
{'Amount': '1285.860751719203865298'},{'Address': '0x5e03b07ae157ee1ca5bf2f3cbe5bc8dc38f3e965'}
{'Amount': '1278.162720510000000000'},{'Address': '0x5864d536e30be10b9ba7b4e8802512fa1bf7ff89'}
{'Amount': '1270.869595957363850429'},{'Address': '0xbae5fab99b6e0e0743cfad5ca5f1a708f620afd5'}
{'Amount': '1259.542199224462464693'},{'Address': '0xaab409a4cebbfe41fec3f823bda71a94f042ecad'}
{'Amount': '1256.892763489252577856'},{'Address': '0x0d70cfc983b413251d49dd20c24bffdea12e9860'}
{'Amount': '1250.765501393733785857'},{'Address': '0x2926b005153f212fb1f12387195a8de1cf010210'}
