id,name,date,cumulative_proposals
aave,Aave,2024-07-19,650
aave,Aave,2024-07-20,651
aave,Aave,2024-07-23,652
aave,Aave,2024-07-25,655
aave,Aave,2024-07-26,657
aave,Aave,2024-07-29,659
aave,Aave,2024-07-31,660
aave,Aave,2024-08-02,661
aave,Aave,2024-08-03,662
aave,Aave,2024-08-04,663
aave,Aave,2024-08-06,664
apwine,Spectra,2024-03-05,2
apwine,Spectra,2024-05-02,4
apwine,Spectra,2024-06-11,7
apwine,Spectra,2024-06-12,9
apwine,Spectra,2024-06-17,10
apwine,Spectra,2024-06-20,11
apwine,Spectra,2024-06-24,12
apwine,Spectra,2024-06-27,13
apwine,Spectra,2024-07-10,15
apwine,Spectra,2024-07-11,16
apwine,Spectra,2024-07-14,18
apwine,Spectra,2024-07-29,19
balancer,Balancer,2020-07-19,3
balancer,Balancer,2020-07-28,4
balancer,Balancer,2020-08-02,5
balancer,Balancer,2020-08-16,6
balancer,Balancer,2020-08-23,10
balancer,Balancer,2020-09-20,11
balancer,Balancer,2020-09-27,13
balancer,Balancer,2020-10-04,14
balancer,Balancer,2020-10-11,15
balancer,Balancer,2020-10-18,17
balancer,Balancer,2020-11-08,18
balancer,Balancer,2020-11-29,19
balancer,Balancer,2020-12-13,20
balancer,Balancer,2020-12-21,21
balancer,Balancer,2021-01-17,22
balancer,Balancer,2021-01-24,25
balancer,Balancer,2021-02-07,28
balancer,Balancer,2021-02-14,30
balancer,Balancer,2021-02-21,33
balancer,Balancer,2021-03-07,35
balancer,Balancer,2021-04-04,36
balancer,Balancer,2021-04-11,37
balancer,Balancer,2021-04-18,39
balancer,Balancer,2021-04-26,41
balancer,Balancer,2021-05-09,43
balancer,Balancer,2021-05-16,44
balancer,Balancer,2021-06-14,45
balancer,Balancer,2021-06-20,46
balancer,Balancer,2021-06-27,47
balancer,Balancer,2021-08-10,48
balancer,Balancer,2021-08-15,50
balancer,Balancer,2021-08-16,52
balancer,Balancer,2021-08-23,53
balancer,Balancer,2021-08-29,54
balancer,Balancer,2021-09-06,56
balancer,Balancer,2021-09-20,58
balancer,Balancer,2021-10-01,59
balancer,Balancer,2021-10-18,60
balancer,Balancer,2021-10-27,61
balancer,Balancer,2021-11-01,64
balancer,Balancer,2021-11-08,65
balancer,Balancer,2021-11-12,66
balancer,Balancer,2021-11-22,68
balancer,Balancer,2021-12-06,69
balancer,Balancer,2021-12-10,70
balancer,Balancer,2021-12-11,72
balancer,Balancer,2021-12-13,73
balancer,Balancer,2021-12-18,75
balancer,Balancer,2021-12-21,76
balancer,Balancer,2021-12-24,77
balancer,Balancer,2022-01-15,78
balancer,Balancer,2022-01-17,79
balancer,Balancer,2022-01-28,80
balancer,Balancer,2022-01-31,81
balancer,Balancer,2022-02-13,82
balancer,Balancer,2022-02-16,83
balancer,Balancer,2022-02-18,84
balancer,Balancer,2022-02-27,86
balancer,Balancer,2022-03-11,88
balancer,Balancer,2022-03-21,91
balancer,Balancer,2022-03-25,92
balancer,Balancer,2022-03-28,94
balancer,Balancer,2022-03-29,95
balancer,Balancer,2022-04-11,98
balancer,Balancer,2022-04-17,100
balancer,Balancer,2022-04-18,103
balancer,Balancer,2022-04-21,104
balancer,Balancer,2022-04-24,105
balancer,Balancer,2022-04-28,109
balancer,Balancer,2022-05-06,112
