Balance,Holder
{'Amount': '12912.338275860000000000'},{'Address': '0x426774601b952411dcf739c32a4436f4f65f6951'}
{'Amount': '12741.697297001307350596'},{'Address': '0x1f5c1487dd9059ba8d2222db09db6e63b290619f'}
{'Amount': '12154.548271625734834867'},{'Address': '0x000000000dfde7deaf24138722987c9a6991e2d4'}
{'Amount': '12082.000000000000000000'},{'Address': '0x91dca37856240e5e1906222ec79278b16420dc92'}
{'Amount': '12000.000000000000000000'},{'Address': '0xe4c558d0c06712cd69f582dbfc0bbb05af27e729'}
{'Amount': '11676.957047944883583052'},{'Address': '0x4086e3e1e99a563989a9390facff553a4f29b6ee'}
{'Amount': '11018.551223548180224823'},{'Address': '0x8aff5ca996f77487a4f04f1ce905bf3d27455580'}
{'Amount': '10856.582130000000000000'},{'Address': '0xd0fa1ba9922967bf84345fc9b5a1d415c61a00bd'}
{'Amount': '10815.904398806534089769'},{'Address': '0xae5fb390e5c4fa1962e39e98dbfb0ed8055ed7a9'}
{'Amount': '10792.977989833640144149'},{'Address': '0x0d0707963952f2fba59dd06f2b425ace40b492fe'}
{'Amount': '10739.588223300000000000'},{'Address': '0xb8ba36e591facee901ffd3d5d82df491551ad7ef'}
{'Amount': '10722.425138623403634429'},{'Address': '0x783cc67242fd639a7621ea1a1c511e4c64d7c66d'}
{'Amount': '10578.735976207918910524'},{'Address': '0xa910f92acdaf488fa6ef02174fb86208ad7722ba'}
{'Amount': '10500.000000000000000000'},{'Address': '0xc105afc5cd421462dbf7e05d011ca53c08edc43a'}
{'Amount': '10017.253040457995570941'},{'Address': '0x1ff7b0bf44b9fd1c845ba6b769be828be1638c49'}
{'Amount': '10000.000000000000000000'},{'Address': '0x326d9f47ba49bbaac279172634827483af70a601'}
{'Amount': '9990.071796449845920635'},{'Address': '0xfb633f47a84a1450ee0413f2c32dc1772ccaea3e'}
{'Amount': '9652.970092323238315284'},{'Address': '0x55031f623152cfb63c60a152238b9b3b28c568b0'}
{'Amount': '9500.000000000000000000'},{'Address': '0xefdb49a99b30c60a5166d6250edb22215e4ed0e3'}
{'Amount': '9409.793687930486000000'},{'Address': '0x359f4fe841f246a095a82cb26f5819e10a91fe0d'}
{'Amount': '9371.763500197516350455'},{'Address': '0x3b66890289366175c360c1f0e1bafae06276ba03'}
{'Amount': '9088.430217699994450810'},{'Address': '0x46340b20830761efd32832a74d7169b29feb9758'}
{'Amount': '9040.460064279071484795'},{'Address': '0x273e9c8198378640f5f007379034b5fa201ef119'}
{'Amount': '8974.868238147192000000'},{'Address': '0x8180d59b7175d4064bdfa8138a58e9babffda44a'}
{'Amount': '8948.450000000000000000'},{'Address': '0x7eca937b8a8db1628d2a857c7781656a5a9b627b'}
{'Amount': '8864.386000000000000000'},{'Address': '0x3058568088dd5206ec0f0670ac995979347329e2'}
{'Amount': '8801.119746401885891028'},{'Address': '0xb24b1b1b4b1f8e49d6d50f8e043e44ad1dac64e5'}
{'Amount': '8609.140540080000000000'},{'Address': '0x2af17a3fc90de53481d8df0c4f652f240ba0af03'}
{'Amount': '8404.766511158036293744'},{'Address': '0x9c321cc40bd1a1b57f1172f1b3aab7a07bcee6e1'}
{'Amount': '8333.000000000000000000'},{'Address': '0x53de6e0da3542f0cd3634723fbb88e9c1f0d32bf'}
{'Amount': '8271.014495000000000000'},{'Address': '0xab662ac0f2398f134ea3870872089b7ab52f3c78'}
{'Amount': '8114.660348897001633955'},{'Address': '0x493945574d9d41c1b553a3e5b71090efc99bf929'}
{'Amount': '8073.112511437122250118'},{'Address': '0x23c2c34f38ce66ccc10e71e9bb2a06532d52c5e9'}
{'Amount': '7888.076748762998238028'},{'Address': '0x56178a0d5f301baf6cf3e1cd53d9863437345bf9'}
{'Amount': '7527.364638942027483735'},{'Address': '0xeed86b90448c371eab47b7f16e294297c27e4f51'}
{'Amount': '7505.408950775727643151'},{'Address': '0xd20c9667bf0047f313228f9fe11f8b9f8dc29bba'}
{'Amount': '7407.272960505864032112'},{'Address': '0xfe28ac0e36654ca9a3ec59616b7f42fd7511d306'}
{'Amount': '7395.417511951357996327'},{'Address': '0x839b9e06285755b72328583ae4fda906d525b579'}
{'Amount': '7389.297569979394377381'},{'Address': '0x21001ff7b651fd6358b7252444d7ece27cc4c4c2'}
{'Amount': '7309.367096616753892654'},{'Address': '0x1c727a55ea3c11b0ab7d3a361fe0f3c47ce6de5d'}
{'Amount': '6929.208239056263000000'},{'Address': '0x57ca561798413a20508b6bc997481e784f3e6e5f'}
