Balance,Holder
{'Amount': '1934.127047455620046537'},{'Address': '0xd572b19af095e76cbf97dedf03c578f29aaa1d72'}
{'Amount': '1900.000000000000000000'},{'Address': '0xedbd081a8d6ead0fdc0f778ba0c29ede361b3171'}
{'Amount': '1844.762932909477881911'},{'Address': '0xa7230946a4421a68efc625b9e420d916c3924722'}
{'Amount': '1830.289633144313881226'},{'Address': '0xf6201e0047a80843765be8899ae0fc2bfa75af11'}
{'Amount': '1800.427270393536829984'},{'Address': '0xe4bd19aa29c40e422fc038a956796ff8e2ef5ccf'}
{'Amount': '1743.605834960936632320'},{'Address': '0x04a8a22e5ef364c5237df13317c4f083f32c2cc4'}
{'Amount': '1739.029801393070550211'},{'Address': '0x3aaf87557fc32018f0e6db957e0b2a359839ecd6'}
{'Amount': '1718.880509142884680871'},{'Address': '0xea4c5fbe38d9376f87cd0183a8d317c1ca2f4680'}
{'Amount': '1680.028781275588097508'},{'Address': '0xa679a45e9fde61846afac70c321248ad097b47b7'}
{'Amount': '1678.521867285896311175'},{'Address': '0x35cd93344a06abd1fae5b2c1aa2bee94ee4dc015'}
{'Amount': '1646.577132014735547062'},{'Address': '0x359856655934338d798f9cce1f181486301d36a5'}
{'Amount': '1643.107841296215824094'},{'Address': '0x05310c5594a3c961f212308317ff3a4fdd8f82af'}
{'Amount': '1572.168642205621410881'},{'Address': '0xa305c919b891c248f6e1d66a1bd85cc30c0239d0'}
{'Amount': '1539.319727287783558045'},{'Address': '0xe68db9f1489505d43d376cd8e1fb63e30eb81233'}
{'Amount': '1530.135065165212220484'},{'Address': '0xa658f3689388556b6cfa5fb99969a568e452a352'}
{'Amount': '1524.620943192429336389'},{'Address': '0xfb0cf362990d2e6d75d224f7583b43a4108232d0'}
{'Amount': '1500.000000000000000000'},{'Address': '0x762eaa9b88f3bab8fa01c348568dfbe2a28fd260'}
{'Amount': '1500.000000000000000000'},{'Address': '0xd08acabe918c78720660f74de01fcd3a6075651c'}
{'Amount': '1500.000000000000000000'},{'Address': '0x79df0010ae0434534e75321bea2b858036c661bb'}
{'Amount': '1500.000000000000000000'},{'Address': '0xe81dfd51448261c2b14fdfbdb01cae85214215b4'}
{'Amount': '1462.951921071209490360'},{'Address': '0x704cd7553b1dcaba4770baddf98d64d9f38e19f4'}
{'Amount': '1460.886759733262762397'},{'Address': '0x0edefa91e99da1eddd1372c1743a63b1595fc413'}
{'Amount': '1460.401236830683172857'},{'Address': '0xe63757e3cd485c9b35b3a972fffa2d91b8649483'}
{'Amount': '1437.000686809533248788'},{'Address': '0x5868b2d2280f01f58db7a2873889c704ddaa8f2b'}
{'Amount': '1424.710951297436847497'},{'Address': '0x72c8280defc12277281ce52820e10c7816197b4e'}
{'Amount': '1388.363246026695945028'},{'Address': '0x2d328a163d0badfb0291d029c1b9791dacbb148a'}
{'Amount': '1369.054481413687776703'},{'Address': '0x34fd1b8dcc9588716634ff7060c0cee04ab5d508'}
{'Amount': '1337.000000000000000000'},{'Address': '0x5658f4b362e95c0bc32d5ce0051457882db92ee5'}
{'Amount': '1315.000000000000000000'},{'Address': '0x5caa533b1bb4cabc15f26d4fc7c549a27421ebfa'}
{'Amount': '1312.080611915582966125'},{'Address': '0xd8049ac018d0189a21e78fadd0935f391b63d643'}
{'Amount': '1305.335480949207642675'},{'Address': '0x13f7b24bc1a3de268814c0bb709cd5e6e296765c'}
{'Amount': '1300.000000000000000000'},{'Address': '0x5218691a71394e01252086e00500b12cacbe5224'}
{'Amount': '1295.977870243162163707'},{'Address': '0x65b0ca787dcf9aa2d5e0ab93eaf836424ef16e83'}
{'Amount': '1294.123334231626342397'},{'Address': '0xbbf3e43681886f30835eb3ce8ec210b8ff16e85d'}
{'Amount': '1292.400277441220617528'},{'Address': '0x47e69ae06f43aaf165f022a45ba1112476034f8a'}
